Scenario - 												
												
												
Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
												
POST001	1	Response	3	38556	48356	1						
POST001	2	Response	3	48770	10183	1						
POST001	4	Picture	B1 T1	56782	0	1	5008	392	0	next	other	0
POST001	5	Picture	RO26.jpg	61790	0	391	39380	392	0	next	other	0
POST001	6	Sound	RO26.wav	62290	0	2			0		other	0
POST001	7	Picture	RO26.jpg	101170	0	1	2599	3	0	next	hit	7
POST001	7	Response	2	103745	2575	1						
POST001	9	Picture	B1 T2	111767	0	1	5199	2	0	next	other	0
POST001	10	Picture	RO19.jpg	116966	0	1	36790	2	0	next	other	0
POST001	11	Sound	RO19.wav	117466	0	2			0		other	0
POST001	12	Picture	RO19.jpg	153756	0	1	2800	2	0	next	incorrect	12
POST001	12	Response	2	156493	2737	1						
POST001	14	Picture	B1 T3	164753	0	1	5199	2	0	next	other	0
POST001	15	Picture	RS23.jpg	169952	0	1	38190	2	0	next	other	0
POST001	16	Sound	RS23.wav	170452	0	2			0		other	0
POST001	17	Picture	RS23.jpg	208142	0	1	6798	2	0	next	hit	17
POST001	17	Response	2	214772	6630	1						
POST001	19	Picture	B1 T4	222738	0	1	5199	2	0	next	other	0
POST001	20	Picture	OF22.jpg	227937	0	1	28192	2	0	next	other	0
POST001	21	Sound	OF22.wav	228437	0	2			0		other	0
POST001	22	Picture	OF22.jpg	256129	0	1	5999	2	0	next	incorrect	22
POST001	22	Response	1	262086	5957	1						
POST001	24	Picture	B1 T5	270126	0	1	5198	2	0	next	other	0
POST001	25	Picture	AT08.jpg	275324	0	1	26993	2	0	next	other	0
POST001	26	Sound	AT08.wav	275824	0	2			0		other	0
POST001	27	Picture	AT08.jpg	302317	0	1	400	2	0	next	hit	27
POST001	27	Response	2	302589	272	1						
POST001	29	Picture	B1 T6	310715	0	1	5199	2	0	next	other	0
POST001	30	Picture	AT30.jpg	315914	0	1	29592	2	0	next	other	0
POST001	31	Sound	AT30.wav	316414	0	2			0		other	0
POST001	32	Picture	AT30.jpg	345506	0	1	7398	2	0	next	hit	32
POST001	32	Response	1	352703	7197	1						
POST001	34	Picture	B1 T7	360902	0	1	5198	3	0	next	other	0
POST001	35	Picture	OF27.jpg	366100	0	2	30392	4	0	next	other	0
POST001	36	Sound	OF27.wav	366600	0	2			0		other	0
POST001	37	Response	1	396339	26	1						
POST001	39	Picture	B1 T8	404090	0	2	5199	3	0	next	other	0
POST001	40	Picture	RO16.jpg	409289	0	1	39190	2	0	next	other	0
POST001	41	Sound	RO16.wav	409789	0	2			0		other	0
POST001	42	Picture	RO16.jpg	448479	0	1	2799	2	0	next	incorrect	41
POST001	42	Response	1	451204	2725	1						
POST001	44	Picture	B1 T9	458676	0	1	5199	2	0	next	other	0
POST001	45	Picture	OF18.jpg	463875	0	1	28592	2	0	next	other	0
POST001	46	Sound	OF18.wav	464375	0	2			0		other	0
POST001	47	Picture	OF18.jpg	492467	0	1	1800	2	0	next	hit	46
POST001	47	Response	1	494087	1620	1						
POST001	49	Picture	B1 T10	505264	0	1	5199	2	0	next	other	0
POST001	50	Picture	OF20.jpg	510463	0	1	29592	2	0	next	other	0
POST001	51	Sound	OF20.wav	510963	0	2			0		other	0
POST001	52	Picture	OF20.jpg	540055	0	1	400	2	0	next	hit	51
POST001	52	Response	2	540353	298	1						
POST001	54	Picture	B1 T11	548053	0	1	5198	2	0	next	other	0
POST001	55	Picture	AT12.jpg	553251	0	1	28393	2	0	next	other	0
POST001	56	Sound	AT12.wav	553751	0	2			0		other	0
POST001	57	Picture	AT12.jpg	581644	0	1	3999	2	0	next	incorrect	56
POST001	57	Response	1	585625	3981	1						
POST001	59	Picture	B1 T12	593641	0	1	5198	2	0	next	other	0
POST001	60	Picture	AT05.jpg	598839	0	1	26593	2	0	next	other	0
POST001	61	Sound	AT05.wav	599339	0	2			0		other	0
POST001	62	Picture	AT05.jpg	625432	0	1	2200	2	0	next	hit	61
POST001	62	Response	1	627561	2129	1						
POST001	64	Picture	B1 T13	635630	0	1	5198	2	0	next	other	0
POST001	65	Picture	RO02.jpg	640828	0	1	38390	2	0	next	other	0
POST001	66	Sound	RO02.wav	641328	0	2			0		other	0
POST001	67	Picture	RO02.jpg	679218	0	1	600	2	0	next	incorrect	66
POST001	67	Response	1	679640	422	1						
POST001	69	Picture	B1 T14	687816	0	1	5198	3	0	next	other	0
POST001	70	Picture	RS11.jpg	693014	0	2	37191	3	0	next	other	0
POST001	71	Sound	RS11.wav	693514	0	2			0		other	0
