Scenario - 												
												
												
Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
												
PRE001	1	Response	3	104975	114605	1						
PRE001	2	Response	3	117581	12411	1						
PRE001	4	Picture	B1 T1	125765	0	1	5008	392	0	next	other	0
PRE001	5	Picture	RO09.jpg	130773	0	391	38181	392	0	next	other	0
PRE001	6	Sound	RO09.wav	131273	0	2			0		other	0
PRE001	7	Picture	RO09.jpg	168954	0	1	10197	2	0	next	incorrect	7
PRE001	7	Response	2	178963	10009	1						
PRE001	9	Picture	B1 T2	187149	0	1	5199	2	0	next	other	0
PRE001	10	Picture	RO20.jpg	192348	0	1	37990	2	0	next	other	0
PRE001	11	Sound	RO20.wav	192848	0	2			0		other	0
PRE001	12	Picture	RO20.jpg	230338	0	1	8398	2	0	next	incorrect	12
PRE001	12	Response	1	238680	8342	1						
PRE001	14	Picture	B1 T3	246734	0	1	5199	2	0	next	other	0
PRE001	15	Picture	RS28.jpg	251933	0	1	37790	2	0	next	other	0
PRE001	16	Sound	RS28.wav	252433	0	2			0		other	0
PRE001	17	Picture	RS28.jpg	289723	0	1	8198	2	0	next	hit	17
PRE001	17	Response	2	297789	8066	1						
PRE001	19	Picture	B1 T4	305919	0	1	5199	2	0	next	other	0
PRE001	20	Picture	AT26.jpg	311118	0	1	29392	2	0	next	other	0
PRE001	21	Sound	AT26.wav	311618	0	2			0		other	0
PRE001	22	Picture	AT26.jpg	340510	0	1	10997	2	0	next	hit	22
PRE001	22	Response	1	351321	10811	1						
PRE001	24	Picture	B1 T5	359305	0	1	5199	2	0	next	other	0
PRE001	25	Picture	RS23.jpg	364504	0	1	38390	2	0	next	other	0
PRE001	26	Sound	RS23.wav	365004	0	2			0		other	0
PRE001	27	Picture	RS23.jpg	402894	0	1	800	2	0	next	hit	27
PRE001	27	Response	2	403607	713	1						
PRE001	29	Picture	B1 T6	411492	0	1	5199	2	0	next	other	0
PRE001	30	Picture	OF04.jpg	416691	0	1	27393	2	0	next	other	0
PRE001	31	Sound	OF04.wav	417191	0	2			0		other	0
PRE001	32	Picture	OF04.jpg	444084	0	1	23794	2	0	next	hit	32
PRE001	32	Response	1	467793	23709	1						
PRE001	34	Picture	B1 T7	475276	0	1	5198	2	0	next	other	0
PRE001	35	Picture	AT18.jpg	480474	0	1	28593	2	0	next	other	0
PRE001	36	Sound	AT18.wav	480974	0	2			0		other	0
PRE001	37	Picture	AT18.jpg	509067	0	1	8198	2	0	next	hit	37
PRE001	37	Response	1	517150	8083	1						
PRE001	39	Picture	B1 T8	528462	0	1	5199	2	0	next	other	0
PRE001	40	Picture	OF30.jpg	533661	0	1	29592	2	0	next	other	0
PRE001	41	Sound	OF30.wav	534161	0	2			0		other	0
PRE001	42	Picture	OF30.jpg	563253	0	1	18396	2	0	next	incorrect	42
PRE001	42	Response	2	581607	18354	1						
PRE001	44	Picture	B1 T9	594445	0	1	5199	2	0	next	other	0
PRE001	45	Picture	AT10.jpg	599644	0	1	28593	2	0	next	other	0
PRE001	46	Sound	AT10.wav	600144	0	2			0		other	0
PRE001	47	Picture	AT10.jpg	628237	0	1	1999	2	0	next	hit	47
PRE001	47	Response	1	630091	1854	1						
PRE001	49	Picture	B1 T10	638234	0	1	5199	2	0	next	other	0
PRE001	50	Picture	RS05.jpg	643433	0	1	40190	2	0	next	other	0
PRE001	51	Sound	RS05.wav	643933	0	2			0		other	0
PRE001	52	Picture	RS05.jpg	683623	0	1	5798	2	0	next	incorrect	52
PRE001	52	Response	1	689365	5742	1						
PRE001	54	Picture	B1 T11	697419	0	1	5199	2	0	next	other	0
PRE001	55	Picture	RO08.jpg	702618	0	1	38390	2	0	next	other	0
PRE001	56	Sound	RO08.wav	703118	0	2			0		other	0
PRE001	57	Picture	RO08.jpg	741008	0	1	9997	2	0	next	hit	57
PRE001	57	Response	1	750924	9916	1						
PRE001	59	Picture	B1 T12	759403	0	1	5199	2	0	next	other	0
PRE001	60	Picture	AT20.jpg	764602	0	1	28793	2	0	next	other	0
PRE001	61	Sound	AT20.wav	765102	0	2			0		other	0
PRE001	62	Picture	AT20.jpg	793395	0	1	5998	2	0	next	hit	62
PRE001	62	Response	1	799286	5891	1						
PRE001	64	Picture	B1 T13	807191	0	1	5199	2	0	next	other	0
PRE001	65	Picture	OF10.jpg	812390	0	1	28592	3	0	next	other	0
PRE001	66	Sound	OF10.wav	812890	0	2			0		other	0
PRE001	67	Picture	OF10.jpg	840982	0	2	7199	3	0	next	hit	67
PRE001	67	Response	1	848100	7118	1						
PRE001	69	Picture	B1 T14	856379	0	1	5198	2	0	next	other	0
PRE001	70	Picture	RO14.jpg	861577	0	1	37990	3	0	next	other	0
PRE001	71	Sound	RO14.wav	862077	0	2			0		other	0
PRE001	72	Picture	RO14.jpg	899567	0	2	2600	3	0	next	hit	72
PRE001	72	Response	1	902103	2536	1						
PRE001	74	Picture	B1 T15	910365	0	1	5198	3	0	next	other	0
PRE001	75	Picture	RO02.jpg	915563	0	2	38391	3	0	next	other	0
PRE001	76	Sound	RO02.wav	916063	0	2			0		other	0
PRE001	77	Picture	RO02.jpg	953954	0	1	5198	2	0	next	incorrect	77
PRE001	77	Response	1	959018	5064	1						
PRE001	79	Picture	B1 T16	967350	0	1	5199	2	0	next	other	0
PRE001	80	Picture	RO03.jpg	972549	0	1	36991	2	0	next	other	0
PRE001	81	Sound	RO03.wav	973049	0	2			0		other	0
PRE001	82	Picture	RO03.jpg	1009540	0	1	3999	2	0	next	incorrect	82
PRE001	82	Response	1	1013404	3864	1						
PRE001	84	Picture	B1 T17	1021536	0	2	5199	3	0	next	other	0
PRE001	85	Picture	AT14.jpg	1026735	0	1	27793	2	0	next	other	0
PRE001	86	Sound	AT14.wav	1027235	0	2			0		other	0
PRE001	87	Picture	AT14.jpg	1054528	0	1	10597	2	0	next	hit	87
PRE001	87	Response	2	1065109	10581	1						
PRE001	89	Picture	B1 T18	1073123	0	1	5199	2	0	next	other	0
PRE001	90	Picture	RS30.jpg	1078322	0	1	39990	2	0	next	other	0
PRE001	91	Sound	RS30.wav	1078822	0	2			0		other	0
PRE001	92	Picture	RS30.jpg	1118312	0	1	3199	2	0	next	hit	92
PRE001	92	Response	2	1121338	3026	1						
PRE001	94	Picture	B1 T19	1129509	0	1	5199	2	0	next	other	0
PRE001	95	Picture	AT15.jpg	1134708	0	1	29592	2	0	next	other	0
PRE001	96	Sound	AT15.wav	1135208	0	2			0		other	0
PRE001	97	Picture	AT15.jpg	1164300	0	1	8798	2	0	next	hit	97
PRE001	97	Response	1	1172966	8666	1						
PRE001	99	Picture	B1 T20	1181096	0	1	5198	3	0	next	other	0
PRE001	100	Picture	AT23.jpg	1186294	0	2	28993	3	0	next	other	0
PRE001	101	Sound	AT23.wav	1186794	0	2			0		other	0
PRE001	102	Picture	AT23.jpg	1215287	0	1	5799	2	0	next	hit	102
PRE001	102	Response	1	1220907	5620	1						
PRE001	104	Picture	B1 T21	1229284	0	1	5198	2	0	next	other	0
PRE001	105	Picture	OF08.jpg	1234482	0	1	28993	2	0	next	other	0
PRE001	106	Sound	OF08.wav	1234982	0	2			0		other	0
PRE001	107	Picture	OF08.jpg	1263475	0	1	2799	2	0	next	hit	107
PRE001	107	Response	1	1266206	2731	1						
PRE001	109	Picture	B1 T22	1273872	0	1	5199	2	0	next	other	0
PRE001	110	Picture	RS22.jpg	1279071	0	1	37390	2	0	next	other	0
PRE001	111	Sound	RS22.wav	1279571	0	2			0		other	0
PRE001	112	Picture	RS22.jpg	1316461	0	1	6399	2	0	next	hit	112
PRE001	112	Response	2	1322759	6298	1						
PRE001	114	Picture	B1 T23	1331258	0	1	5198	2	0	next	other	0
PRE001	115	Picture	AT24.jpg	1336456	0	1	27993	2	0	next	other	0
PRE001	116	Sound	AT24.wav	1336956	0	2			0		other	0
PRE001	117	Picture	AT24.jpg	1364449	0	1	2000	2	0	next	hit	117
PRE001	117	Response	2	1366296	1847	1						
PRE001	119	Picture	B1 T24	1374447	0	1	5198	2	0	next	other	0
PRE001	120	Picture	RS09.jpg	1379645	0	1	38590	2	0	next	other	0
PRE001	121	Sound	RS09.wav	1380145	0	2			0		other	0
PRE001	122	Picture	RS09.jpg	1418235	0	1	9798	2	0	next	hit	122
PRE001	122	Response	2	1427936	9701	1						
PRE001	124	Picture	B1 T25	1435831	0	1	5199	2	0	next	other	0
