Scenario - 												
												
												
Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
												
PRE012	1	Response	3	5212	15012	1						
PRE012	2	Response	3	94136	88741	1						
PRE012	4	Picture	B1 T1	101370	0	1	5008	392	0	next	other	0
PRE012	5	Picture	RO09.jpg	106378	0	391	38180	392	0	next	other	0
PRE012	6	Sound	RO09.wav	106878	0	2			0		other	0
PRE012	7	Picture	RO09.jpg	144558	0	1	57185	2	0	next	hit	7
PRE012	7	Response	1	201592	57034	1						
PRE012	9	Picture	B1 T2	209141	0	1	5198	3	0	next	other	0
PRE012	10	Picture	RO20.jpg	214339	0	2	37790	3	0	next	other	0
PRE012	11	Sound	RO20.wav	214839	0	2			0		other	0
PRE012	12	Picture	RO20.jpg	252129	0	1	5999	2	0	next	hit	12
PRE012	12	Response	2	257984	5855	1						
PRE012	14	Picture	B1 T3	265526	0	1	5198	2	0	next	other	0
PRE012	15	Picture	RS28.jpg	270724	0	1	37790	2	0	next	other	0
PRE012	16	Sound	RS28.wav	271224	0	2			0		other	0
PRE012	17	Picture	RS28.jpg	308514	0	1	14796	2	0	next	hit	17
PRE012	17	Response	2	323279	14765	1						
PRE012	19	Picture	B1 T4	330708	0	1	5199	2	0	next	other	0
PRE012	20	Picture	AT26.jpg	335907	0	1	29392	2	0	next	other	0
PRE012	21	Sound	AT26.wav	336407	0	2			0		other	0
PRE012	22	Picture	AT26.jpg	365299	0	1	13796	2	0	next	hit	22
PRE012	22	Response	1	378922	13623	1						
PRE012	24	Picture	B1 T5	386293	0	2	5199	3	0	next	other	0
PRE012	25	Picture	RS23.jpg	391492	0	1	38190	2	0	next	other	0
PRE012	26	Sound	RS23.wav	391992	0	2			0		other	0
PRE012	27	Picture	RS23.jpg	429682	0	1	16995	2	0	next	hit	27
PRE012	27	Response	2	446618	16936	1						
PRE012	29	Picture	B1 T6	454075	0	1	5199	2	0	next	other	0
PRE012	30	Picture	OF04.jpg	459274	0	1	27193	2	0	next	other	0
PRE012	31	Sound	OF04.wav	459774	0	2			0		other	0
PRE012	32	Picture	OF04.jpg	486467	0	1	30392	2	0	next	hit	32
PRE012	32	Response	1	516682	30215	1						
PRE012	34	Picture	B1 T7	524057	0	1	5198	2	0	next	other	0
PRE012	35	Picture	AT18.jpg	529255	0	1	28393	2	0	next	other	0
PRE012	36	Sound	AT18.wav	529755	0	2			0		other	0
PRE012	37	Picture	AT18.jpg	557648	0	1	11397	2	0	next	hit	37
PRE012	37	Response	1	568842	11194	1						
PRE012	39	Picture	B1 T8	576443	0	1	5198	2	0	next	other	0
PRE012	40	Picture	OF30.jpg	581641	0	1	29592	2	0	next	other	0
PRE012	41	Sound	OF30.wav	582141	0	2			0		other	0
PRE012	42	Picture	OF30.jpg	611233	0	1	1400	2	0	next	hit	42
PRE012	42	Response	1	612581	1348	1						
PRE012	44	Picture	B1 T9	620031	0	1	5199	2	0	next	other	0
PRE012	45	Picture	AT10.jpg	625230	0	1	28592	2	0	next	other	0
