Scenario - 												
												
												
Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
												
TRAIN013	1	Response	3	644253	653863	1						
TRAIN013	2	Response	3	652838	8414	1						
TRAIN013	4	Picture	B1 T1	664219	0	1	15006	392	0	next	other	0
TRAIN013	5	Picture	TS09.jpg	679225	0	391	40579	392	0	next	other	0
TRAIN013	6	Sound	TS09.wav	679725	0	2			0		other	0
TRAIN013	7	Picture	TS09.jpg	719804	0	1	27193	2	0	next	hit	7
TRAIN013	7	Response	1	746884	27080	1						
TRAIN013	9	Video	Richtig	751006	0	392			0		other	0
TRAIN013	11	Picture	B1 T2	777189	0	1	15196	2	0	next	other	0
TRAIN013	12	Picture	TS25.jpg	792385	0	1	38790	2	0	next	other	0
TRAIN013	13	Sound	TS25.wav	792885	0	2			0		other	0
TRAIN013	14	Picture	TS25.jpg	831175	0	1	32791	2	0	next	hit	13
TRAIN013	14	Response	2	863945	32770	1						
TRAIN013	16	Video	Richtig	867765	0	1			0		other	0
TRAIN013	18	Picture	B1 T3	893958	0	1	15196	2	0	next	other	0
TRAIN013	19	Picture	TO06.jpg	909154	0	1	38789	2	0	next	other	0
TRAIN013	20	Sound	TO06.wav	909654	0	2			0		other	0
TRAIN013	21	Picture	TO06.jpg	947943	0	1	100174	2	0	next	miss	0
TRAIN013	24	Picture	B1 T4	1065112	0	1	15196	2	0	next	other	0
TRAIN013	25	Picture	TS08.jpg	1080308	0	1	38590	2	0	next	other	0
TRAIN013	26	Sound	TS08.wav	1080808	0	2			0		other	0
TRAIN013	27	Picture	TS08.jpg	1118898	0	1	27592	2	0	next	hit	23
TRAIN013	27	Response	1	1146471	27573	1						
TRAIN013	29	Video	Richtig	1150489	0	1			0		other	0
TRAIN013	31	Picture	B1 T5	1176682	0	1	15196	2	0	next	other	0
TRAIN013	32	Picture	TO25.jpg	1191878	0	1	38590	2	0	next	other	0
TRAIN013	33	Sound	TO25.wav	1192378	0	2			0		other	0
TRAIN013	34	Picture	TO25.jpg	1230468	0	1	100173	2	0	next	miss	0
TRAIN013	37	Picture	B1 T6	1348236	0	1	15196	2	0	next	other	0
TRAIN013	38	Picture	TS23.jpg	1363432	0	1	39190	2	0	next	other	0
TRAIN013	39	Sound	TS23.wav	1363932	0	2			0		other	0
TRAIN013	40	Picture	TS23.jpg	1402622	0	1	40589	2	0	next	hit	33
TRAIN013	40	Response	2	1443107	40485	1						
TRAIN013	42	Video	Richtig	1447210	0	1			0		other	0
TRAIN013	44	Picture	B1 T7	1473603	0	1	15196	2	0	next	other	0
TRAIN013	45	Picture	TS29.jpg	1488799	0	1	38589	2	0	next	other	0
TRAIN013	46	Sound	TS29.wav	1489299	0	2			0		other	0
TRAIN013	47	Picture	TS29.jpg	1527388	0	1	73381	2	0	next	hit	39
TRAIN013	47	Response	2	1600596	73208	1						
TRAIN013	49	Video	Richtig	1607767	0	1			0		other	0
TRAIN013	51	Picture	B1 T8	1633960	0	1	15196	2	0	next	other	0
TRAIN013	52	Picture	TS19.jpg	1649156	0	1	39189	2	0	next	other	0
TRAIN013	53	Sound	TS19.wav	1649656	0	2			0		other	0
TRAIN013	54	Picture	TS19.jpg	1688345	0	1	43389	2	0	next	hit	45
TRAIN013	54	Response	2	1731677	43332	1						
TRAIN013	56	Video	Richtig	1735933	0	1			0		other	0
TRAIN013	58	Picture	B1 T9	1762126	0	1	15196	2	0	next	other	0
TRAIN013	59	Picture	TO05.jpg	1777322	0	1	38389	2	0	next	other	0
TRAIN013	60	Sound	TO05.wav	1777822	0	2			0		other	0
TRAIN013	61	Picture	TO05.jpg	1815711	0	1	2800	2	0	next	incorrect	51
TRAIN013	61	Response	2	1818360	2649	1						
TRAIN013	63	Video	Falsch	1822310	0	1			0		other	0
TRAIN013	65	Picture	B1 T10	1848503	0	1	15196	2	0	next	other	0
TRAIN013	66	Picture	TS28.jpg	1863699	0	1	38589	2	0	next	other	0
TRAIN013	67	Sound	TS28.wav	1864199	0	2			0		other	0
TRAIN013	68	Picture	TS28.jpg	1902288	0	1	12997	2	0	next	hit	57
TRAIN013	68	Response	1	1915108	12820	1						
TRAIN013	70	Video	Richtig	1919484	0	1			0		other	0
TRAIN013	72	Picture	B1 T11	1945877	0	1	15196	2	0	next	other	0
TRAIN013	73	Picture	TO04.jpg	1961073	0	1	38789	2	0	next	other	0
TRAIN013	74	Sound	TO04.wav	1961573	0	2			0		other	0
TRAIN013	75	Picture	TO04.jpg	1999862	0	1	5999	2	0	next	incorrect	63
TRAIN013	75	Response	1	2005807	5945	1						
TRAIN013	77	Video	Falsch	2009460	0	1			0		other	0
TRAIN013	79	Picture	B1 T12	2035053	0	1	15196	2	0	next	other	0
TRAIN013	80	Picture	TO23.jpg	2050249	0	1	38989	2	0	next	other	0
TRAIN013	81	Sound	TO23.wav	2050749	0	2			0		other	0
TRAIN013	82	Picture	TO23.jpg	2089238	0	1	6998	2	0	next	incorrect	69
TRAIN013	82	Response	2	2096176	6938	1						
TRAIN013	84	Video	Falsch	2099635	0	2			0		other	0
TRAIN013	86	Picture	B1 T13	2126028	0	1	15196	2	0	next	other	0
TRAIN013	87	Picture	TO10.jpg	2141224	0	1	40989	2	0	next	other	0
TRAIN013	88	Sound	TO10.wav	2141724	0	2			0		other	0
TRAIN013	89	Picture	TO10.jpg	2182213	0	1	5599	2	0	next	incorrect	75
TRAIN013	89	Response	1	2187660	5447	1						
TRAIN013	91	Video	Falsch	2191211	0	1			0		other	0
TRAIN013	93	Picture	B1 T14	2220203	0	1	15196	2	0	next	other	0
TRAIN013	94	Picture	TS22.jpg	2235399	0	1	38990	2	0	next	other	0
TRAIN013	95	Sound	TS22.wav	2235899	0	2			0		other	0
TRAIN013	96	Picture	TS22.jpg	2274389	0	1	41989	2	0	next	hit	81
TRAIN013	96	Response	1	2316194	41805	1						
TRAIN013	98	Video	Richtig	2320377	0	1			0		other	0
TRAIN013	100	Picture	B1 T15	2346370	0	1	15195	3	0	next	other	0
TRAIN013	101	Picture	TS11.jpg	2361565	0	2	38390	3	0	next	other	0
TRAIN013	102	Sound	TS11.wav	2362065	0	2			0		other	0
TRAIN013	103	Picture	TS11.jpg	2399955	0	1	21195	2	0	next	hit	87
TRAIN013	103	Response	2	2421028	21073	1						
TRAIN013	105	Video	Richtig	2425148	0	2			0		other	0
TRAIN013	107	Picture	B1 T16	2450942	0	1	15196	2	0	next	other	0
TRAIN013	108	Picture	TO30.jpg	2466138	0	1	39589	2	0	next	other	0
TRAIN013	109	Sound	TO30.wav	2466638	0	2			0		other	0
TRAIN013	110	Picture	TO30.jpg	2505727	0	1	7598	2	0	next	incorrect	93
TRAIN013	110	Response	2	2513287	7560	1						
TRAIN013	112	Video	Falsch	2517324	0	1			0		other	0
TRAIN013	114	Picture	B1 T17	2543517	0	1	15196	2	0	next	other	0
TRAIN013	115	Picture	TO18.jpg	2558713	0	1	39589	2	0	next	other	0
TRAIN013	116	Sound	TO18.wav	2559213	0	2			0		other	0
TRAIN013	117	Picture	TO18.jpg	2598302	0	1	13797	2	0	next	incorrect	99
TRAIN013	117	Response	2	2612057	13755	1						
TRAIN013	119	Video	Falsch	2615498	0	1			0		other	0
TRAIN013	121	Picture	B1 T18	2641291	0	1	15196	2	0	next	other	0
TRAIN013	122	Picture	TO19.jpg	2656487	0	1	38989	2	0	next	other	0
TRAIN013	123	Sound	TO19.wav	2656987	0	2			0		other	0
TRAIN013	124	Picture	TO19.jpg	2695476	0	1	58385	2	0	next	incorrect	105
TRAIN013	124	Response	1	2753817	58341	1						
TRAIN013	126	Video	Falsch	2757460	0	1			0		other	0
TRAIN013	128	Picture	B1 T19	2783453	0	1	15196	2	0	next	other	0
TRAIN013	129	Picture	TS13.jpg	2798649	0	1	38789	2	0	next	other	0
TRAIN013	130	Sound	TS13.wav	2799149	0	2			0		other	0
